time	Temperature(F)	Wind_Chill(F)	Humidity(%)	Pressure(in)	Visibility(mi)	Wind_Direction	Wind_Speed(mph)'	Precipitation(in)								
Jan-16	57.7															
Feb-16	64.9															
Mar-16	63.2															
Apr-16	66.6															
May-16	65															
Jun-16	71.3															
Jul-16	75.1															
Aug-16	73.6															
Sep-16	73.7															
Oct-16	70															
Nov-16	65.7															
Dec-16	58.6															
Jan-17	57.1															
Feb-17	59.8															
Mar-17	65.5															
Apr-17	67.8															
May-17	67.1															
Jun-17	71.4															
Jul-17	76.4															
Aug-17	76.6															
Sep-17	75.2															
Oct-17	74.1															
Nov-17	66.4															
Dec-17	61															
Jan-18	62.2															
Feb-18	59.4															
Mar-18	60.1															
Apr-18	64.4															
May-18	64.9															
Jun-18	70.1															
Jul-18	78.8															
Aug-18	78.3															
Sep-18	73.4															
Oct-18	70.5															
Nov-18	65.1															
Dec-18	58.9															
Jan-19	57.9															
Feb-19	54															
Mar-19	61.1															
Apr-19	65.2															
May-19	63.3															
Jun-19	69.3															
Jul-19	74.4															
Aug-19	75.5															
Sep-19	76.6															
Oct-19	72.2															
Nov-19	64.9															
Dec-19	59.4															
Jan-20	60.9															
Feb-20	62.6															
Mar-20	61.3															
Apr-20	66.6															
May-20	70.5															
Jun-20	71.3															
Jul-20	72.2															
Aug-20	76.7															
Sep-20	76.2															
Oct-20	73															
Nov-20	62.8															
Dec-20	60															
Jan-21	59															
Feb-21	60.5															
Mar-21	59.5															
Apr-21	64.6															
May-21	66.3															
Jun-21	71.1															
Jul-21	74.9															
Aug-21	74.4															
Sep-21	71.3															
Oct-21	66.6															
Nov-21	64															
Dec-21	54.5															
Jan-22	58.5															
Feb-22	58.8															
Mar-22	61.4															
Apr-22	64.3															
May-22	64.8															
Jun-22	71															
Jul-22	72.4															
Aug-22	75.2															
Sep-22	77.5															
Oct-22	68.7															
Nov-22	60.2															
Dec-22	57.5															
Jan-23	55.6															
Feb-23	55.9															
Mar-23	57															
Apr-23	62.6															
May-23	63.9															
Jun-23	66.8															
Jul-23	75.1															
Aug-23	75.3															
																
																
																